GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081040400,Queens,Census Tract 404,3998,0.4794092653196896,8339.429980215278,1,1999.0,1174.3714122717438,0.0010725121664562354,0
36081041100,Queens,Census Tract 411,4010,0.13767483701274325,29126.60067016337,0,4010.0,1058.1687115455245,0.2930659565872858,0
36081041400,Queens,Census Tract 414,4515,0.4732142722815686,9541.132346307419,0,4515.0,1109.8790395721621,0.1596915116918237,0
36081041500,Queens,Census Tract 415,3941,0.17093867109395267,23055.052287342965,1,1970.5,834.0727666707842,-0.0051522229456980595,0
36081042700,Queens,Census Tract 427,4226,0.17055301136120266,24778.219782059674,0,4226.0,899.9827082630412,0.1979608470727925,0
36081043400,Queens,Census Tract 434,1861,0.20534958825631205,9062.594260852122,0,1861.0,1038.2122280623937,-0.060426413411843884,0
36081045000,Queens,Census Tract 450,2137,0.17557035388288844,12171.758800608523,0,2137.0,1129.2699565693122,0.056561806413812636,0
36081045400,Queens,Census Tract 454,4776,0.23099301660598343,20675.94973291624,0,4776.0,749.9389201027512,0.10381276121337042,0
36081045500,Queens,Census Tract 455,12756,0.1482356243231075,86052.18926454475,0,12756.0,1271.466246637043,0.7924930152295361,1
36081045600,Queens,Census Tract 456,1195,0.16223061604412178,7366.05721619769,0,1195.0,2027.8826087014036,0.14543888653080791,0
36081044602,Queens,Census Tract 446.02,5354,0.1700748534130566,31480.256443301896,0,5354.0,1270.1801796481188,0.45373277452278193,1
36081044800,Queens,Census Tract 448,2726,0.20799868888400963,13105.851842749607,0,2726.0,1238.7730860560457,0.16315663801504734,0
36081045800,Queens,Census Tract 458,2436,0.24527706281567999,9931.625778765125,0,2436.0,2450.7130963453938,0.4307033134361251,1
36081046200,Queens,Census Tract 462,6178,0.24960914345032714,24750.69588638462,0,6178.0,1992.9289515580654,0.6649797773505072,1
36081046300,Queens,Census Tract 463,4116,0.1594129960493591,25819.726760078967,0,4116.0,2539.4375598794927,0.7088674287287312,1
36081046400,Queens,Census Tract 464,2123,0.2287669316179692,9280.187416008697,0,2123.0,3681.3241549120926,0.5918915088379256,1
